_id,theme,source,title,description,published_on,company 1,company 2,company 3,company 4,,,,,
60,technologies,bing,TTM Technologies (NASDAQ:TTMI) Rating Increased to Buy at BidaskClub,"TTM Technologies (NASDAQ:TTMI) was upgraded by stock analysts at BidaskClub from a œhold rating to a œbuy rating in a research report issued on Saturday, BidAskClub reports. Other research analysts also recently issued research reports about the company.",2020-08-01T06:25:00.0000000Z,,,,,,,,,
61,technologies,bing,Compulink Technologies and Freshworks Streamline IT Support for Higher Education at USNY,"So, the college turned to IT solutions provider Compulink Technolog ies for support. Compulink Technologies equipped the higher education college at USNY with the Freshservice ITSM service from their partner Freshworks. Freshworks Freshservice is an ...",2020-07-31T17:31:00.0000000Z,,,,,,,,,
62,technologies,bing,Aristocrat Technologies Upgraded Dragon Link to premiere at Seminole Hard Rock Tampa,"Aristocrat Technologies announced today its launch of the latest evolution of the popular Dragon Link slot machine. Seminole Hard Rock Hotel & Casino Tampa is the first property to offer the newest iteration of the game,",2020-07-31T19:05:00.0000000Z,,,,,,,,,
63,expansion,bing,"Dance Academy of Loudoun announces expansion, move to Leesburg Tech Park",The Dance Academy of Loudoun has announced it is moving its studio to 960 Sycolin Road in the Leesburg Tech Park. The academy has 16 full-time instructors and 200 dance teams and is currently located on East Market Street in Leesburg. The operation is ...,2020-07-31T18:10:00.0000000Z,,,,,,,,,
64,expansion,bing,Tyson Foods to add 230 jobs in $87.6M Tennessee expansion,Tyson Foods expects to create 230 more jobs and invest $87.6 million in an expansion in Tennessee. The state Department of Community and Economic Development says the food processing giant expects the new jobs at the Union City plant by the end of the year.,2020-08-01T00:03:00.0000000Z,,,,,,,,,
65,expansion,bing,"Medicaid Expansion applications open August 1, more than 90,000 Nebraskans eligible","Starting Saturday, roughly 90,000 Nebraskans can apply to get benefits under the Medicaid expansion bill Nebraska voted on almost two years ago. Medicaid provides healthcare coverage to those who cant otherwise afford it.",2020-07-31T22:25:00.0000000Z,,,,,,,,,
66,growth,bing,"Spiral Membrane Market 2020 Growth by Global Key Players : Lanxess, Merck, Pall Corporation, Pentair, Alfa Laval",The Spiral Membrane Market report intends to provide cutting-edge market intelligence and help decision makers,2020-08-01T09:18:00.0000000Z,,,,,,,,,
67,growth,bing,˜Were preparing for the future: Zion takes new steps to spur economic growth,"The city of Zion has been working to spur economic growth since the 1998 closure of the Zion Nuclear Power Station, said Sonolito Bronson, the citys coordinator of planning and economic development.",2020-08-01T03:29:00.0000000Z,,,,,,,,,
68,leadership_changes,bing,PG&E names new CECO amid leadership shuffle,"Earlier this month, PG&E announced organizational changes to its risk, audit, and safety leadership teams. That included the splitting of the vice president of internal audit and chief risk officer position into two different roles and the elevation of ...",2020-07-31T16:34:00.0000000Z,,,,,,,,,
69,leadership_changes,bing,Voluntis Announces Changes to Its Governance,"As Voluntis continues to simplify its organization in line with its strategic roadmap, the Board of Directors has approved a reduction in its size. In conjunct",2020-07-31T16:35:00.0000000Z,,,,,,,,,
70,leadership_changes,bing,Lloyd's Wants Women In 35% Of Leadership Roles By 2023,"Lloyd's of London has outlined diversity targets in a drive to get more women in leadership roles within insurance companies, setting a goal of at least 35% representation by 2023.",2020-07-31T19:01:00.0000000Z,,,,,,,,,
71,leadership_changes,bing,Nokia culls low-margin business ahead of CEO change,"The leadership change comes as turbulence prevails in European telecoms markets, with increasing pressure from certain governments for operators to exclude or limit the usage of 5G equipment from Huawei.",2020-07-31T14:39:00.0000000Z,,,,,,,,,
72,leadership_changes,bing,TikTok Owner Eyes Listing Change To Dodge US Sanctions,"With the Trump administration signaling that it may ban TikTok in the U.S., owner ByteDance may register as a publicly-traded company in Shanghai or Hong Kong.",2020-07-31T15:54:00.0000000Z,,,,,,,,,
73,leadership_changes,bing,Rabo AgriFinance Leadership Team Changes,"Kicked off by a retirement, a series of changes to the leadership team for Rabo AgriFinances ag lending business go into effect August",2020-07-31T22:49:00.0000000Z,,,,,,,,,
74,leadership_changes,bing,Leadership Changes at Ivy Tech,Ivy Tech Community College has promoted Kristen Schunk Moreland (pictured) to senior vice president and chief strategy officer. She previously served as vice president for Change Management and Strate,2020-07-31T16:30:00.0000000Z,,,,,,,,,
75,leadership_changes,bing,Leadership changes at Dominion Energy,"Dominion Energy has announced a reorganized executive leadership team, including a new CEO. The Richmond, Virginia-based energy company said Friday that current chairman, president and CEO Thomas Farrell II will become the company's executive chair,",2020-08-01T02:02:00.0000000Z,,,,,,,,,
76,leadership_changes,bing,"Dominion announces second-quarter net loss, leadership change","Dominion Energy announced a net loss of $1.2 billion, or $1.41 per share, in reported earnings for the three months ending June 20. For the same period in 2019, the company declared a net gain of $54 million,",2020-07-31T14:12:00.0000000Z,,,,,,,,,
77,leadership_changes,bing,"BREAKING: Weeks After Canceling Atlantic Coast Pipeline Project, Dominion Energy Names New Executive Leadership...","Wow, very interesting...been wondering if something like this might happen, given all the other changes at Dominion Energy - including, of course, cancellation on July 5 of the massive Atlantic Coast",2020-07-31T21:37:00.0000000Z,,,,,,,,,
78,product_launches,bing,Amul doubles down on immunity boosting products amid coronavirus; launches Haldi Ice Cream,Gujarat-based Amul has doubled down on its immunity boosting range amid coronavirus pandemic as demand booms for such products. The company announced the launch of Haldi or Turmeric Ice Cream.,2020-08-01T08:05:00.0000000Z,,,,,,,,,
79,product_launches,bing,RPN launches improved Rubber News Directory in partnership with MediaBrains,"In conjunction with the launch, MediaBrains is offering companies a featured placement at a special charter rate. This offers priority positioning in company, category and product search results, while lead generation tools facilitate the sales process.",2020-07-31T18:32:00.0000000Z,,,,,,,,,
80,product_launches,bing,Spectrum Launches News App for Local Coverage,"Spectrum Networks is increasing its customers access to local news content with the launch of the Spectrum News App. The Spectrum News App combines reporting from existing newsrooms and weather teams,",2020-07-31T17:17:00.0000000Z,,,,,,,,,
81,product_launches,bing,Fidelity Spire Beats Project Avocado To Launch,"Financial planning is a key theme for both apps, though Spire is meant for Fidelity retail investors while Avocado is designed to bring investors to advisors.",2020-07-31T20:31:00.0000000Z,,,,,,,,,
82,product_launches,bing,Veracode Security Labs Community Edition launches to close the security gap,Security company Veracode has announced it will be offering a Security Labs Community Edition as a free-to-use alternative to its Enterprise Edition.,2020-07-31T16:49:00.0000000Z,,,,,,,,,
83,product_launches,bing,Walton Launches First Compressor Shipment to Turkey,"In its own brand name, Walton launched the first shipment of its compressors export to a Turkish company named ˜Kargi, one of the leading Turkish marketing brands. Kargi deals with imports, exports and marketing of hi-tech spare parts for domestic and industrial products with a comprehensive range of customer portfolio throughout Turkey and also abroad,",2020-07-31T17:14:00.0000000Z,,,,,,,,,
84,product_launches,bing,Zippo Fires Up a Special Mars Lighter Following NASAs Latest Space Launch,"NASA launched its latest mission to Mars on Thursday, drawing millions of viewers. And while the features of the Perseverance Rover are mightily impressive, the thing that led so many people to YouTube was the chance to watch an Atlas V-541 rocket do its thing.",2020-07-31T20:37:00.0000000Z,,,,,,,,,
85,product_launches,bing,Alfa Chemistry Materials Launches Alternative Energy Materials for Renewable Energy Technology Development,"To better meet the increasing demand for such functional materials, Alfa Chemistry Materials, a chemical vendor headquartered in New York, USA, announced to provide a broad varieties of alternative energy materials for research groups or companies engaged in the renewable energy industry.",2020-07-31T18:10:00.0000000Z,,,,,,,,,
86,product_launches,bing,Globant (GLOB) Launches Continuity Studio,Technology services company Globant SA (NYSE: GLOB) has announced the launch of the Continuity Studio product in order to help businesses face new challenges caused by the pandemic.,2020-07-31T18:27:00.0000000Z,,,,,,,,,
87,product_launches,bing,Ineos Launches Global Business to Market Sanitizer Products to Medical Professionals and Consumers,"Ineos Hygienics will produce hospital-grade hand gels, sanitizer sprays for hands and surfaces, and sanitizer wipes for the home and to the public. The official launch of the business is being announced during British Grand Prix weekend,",2020-07-31T18:10:00.0000000Z,,,,,,,,,
88,executive_movements,bing,Domino's Promotes Art D'Elia to Chief Marketing Officer,"Domino's Pizza announced the promotion of Art D'Elia to executive vice president, chief marketing officer. In this expanded role, D'Elia will run all global marketing initiatives for the brand, leading all U.S. marketing and advertising, and working with ...",2020-07-31T11:46:00.0000000Z,,,,,,,,,
89,executive_movements,bing,Dominos Pizza Promotes Art DElia to EVP and CMO,"Dominos Pizza, the worlds largest pizza chain based on retail sales, promoted Art DElia to evp and CMO, the company announced on Thursday. In the expanded role, DElia will oversee all global marketing initiatives including the companysÂ marketing and advertising efforts in the U.",2020-07-31T19:40:00.0000000Z,,,,,,,,,
90,executive_movements,bing,"Bridgestone promotes Cielo, Seidel to new corporate roles","Cielo replaces Erik Seidel, who has been named to a new role overseeing corporate development and mergers and acquisitions for Bridgestone Americas. That move is effective immediately. In her new role,",2020-07-31T18:13:00.0000000Z,,,,,,,,,
91,executive_movements,bing,Dominos promotes DElia to CMO,"ANN ARBOR, MICH.  Art DElia has been promoted to executive vice president and chief marketing officer at Dominos Pizza, Inc. His expanded role includes responsibility for all global marketing initiatives, leading US marketing and advertising and w ...",2020-07-31T15:27:00.0000000Z,,,,,,,,,
92,executive_movements,bing,Fetterer Joins Arlington's Newly Formed Behavioral Health Docket,"Diana Fetterer joined the Behavioral Health Docket Team, which will begin working with individuals with mental illnesses in September. (Shutterstock) ARLINGTON, VA  Diana Fetterer joined the ...",2020-08-01T00:08:00.0000000Z,,,,,,,,,
93,executive_movements,bing,Powerhouse International Trade Team Joins McDermott in Washington,"International law firm McDermott Will & Emery builds on its Washington-based international trade footprint with the addition of partners Joanne Osendarp and Eric Parnes. Together with their team, Joanne and Eric bring high-profile international trade,",2020-08-01T00:14:00.0000000Z,,,,,,,,,
94,executive_movements,bing,Michael White Joins Starwood Energy as Senior Vice President,"PRNewswire/ -- Starwood Energy Group Global, LLC (""Starwood Energy""), a leading private investment firm focused on energy infrastructure, announced today",2020-07-31T20:44:00.0000000Z,,,,,,,,,
